ST,TEMP,DO,EC,SAL,PH,POL,LOC
5,30.1,5.26,51.9,30.63,8.64,1,"5.506722,100.194008"
5,30.1,5.23,51.9,30.65,8.68,1,"5.506722,100.194008"
5,30.2,5.18,51.9,30.66,8.62,1,"5.506722,100.194008"
5,30,5.31,51,30.02,8.67,1,"5.506722,100.194008"
5,30,5.16,51.9,30.68,8.67,1,"5.506722,100.194008"
5,30,5.06,51.9,30.66,8.68,1,"5.506722,100.194008"
5,30,5.01,51.9,30.67,8.66,1,"5.506722,100.194008"
5,30,4.92,51.9,30.68,8.67,2,"5.506722,100.194008"
5,30,4.94,51.9,30.57,8.67,2,"5.506722,100.194008"
5,30,4.94,51.9,30.68,8.66,2,"5.506722,100.194008"
6,29.7,6.41,50.2,29.76,8.15,1,"5.511678,100.188361"
6,29.7,6.37,50.2,29.76,8.23,1,"5.511678,100.188361"
6,29.7,6.4,50.2,29.74,8.28,1,"5.511678,100.188361"
6,29.7,6.35,50.2,29.76,8.36,1,"5.511678,100.188361"
6,29.7,6.3,50.2,29.76,8.37,1,"5.511678,100.188361"
6,29.7,6.39,50.2,29.76,8.39,1,"5.511678,100.188361"
6,29.7,6.48,50.2,29.75,8.45,1,"5.511678,100.188361"
6,29.7,6.41,50.2,29.75,8.43,1,"5.511678,100.188361"
6,29.7,6.42,50.2,29.75,8.45,1,"5.511678,100.188361"
6,29.7,6.46,50.2,29.75,8.49,1,"5.511678,100.188361"
6,29.6,6.42,50.2,29.75,8.41,1,"5.511678,100.188361"
6,29.7,6.4,50.2,29.77,8.52,1,"5.511678,100.188361"
6,29.7,6.42,50.3,29.45,8.5,1,"5.511678,100.188361"
6,29.7,6.2,50.3,29.84,8.55,1,"5.511678,100.188361"
6,29.7,6.23,50.4,29.87,8.57,1,"5.511678,100.188361"
6,29.7,6.02,50.7,29.99,8.59,1,"5.511678,100.188361"
6,29.8,5.93,50.6,30.01,8.58,1,"5.511678,100.188361"
6,29.8,5.83,50.7,30.03,8.48,1,"5.511678,100.188361"
6,29.9,5.28,51.4,30.38,8.69,1,"5.511678,100.188361"
6,29.9,5.25,51.2,30.33,8.71,1,"5.511678,100.188361"
6,29.9,5.22,51.5,30.43,8.72,1,"5.511678,100.188361"
6,30,4.91,52,30.74,8.72,2,"5.511678,100.188361"
6,30,4.86,52,30.74,8.71,2,"5.511678,100.188361"
6,30,4.86,52,30.74,8.71,2,"5.511678,100.188361"
6,30,4.87,52,30.73,8.72,2,"5.511678,100.188361"
6,30,4.89,52,30.75,8.64,2,"5.511678,100.188361"
6,30,4.89,52,30.75,8.61,2,"5.511678,100.188361"
6,30.1,4.88,52,30.76,8.58,2,"5.511678,100.188361"
6,30,4.83,52,30.74,8.55,2,"5.511678,100.188361"
6,30,4.84,52,30.75,8.56,2,"5.511678,100.188361"
1,30,4.87,44.26,25.18,8.35,2,"5.461894,100.209128"
1,30,4.91,38.53,22.68,8.37,2,"5.461894,100.209128"
1,30,4.5,38.87,25.75,8.43,2,"5.461894,100.209128"
1,30,3.82,47.74,28.07,8.48,2,"5.461894,100.209128"
1,29.9,3.72,47.45,27.83,8.5,2,"5.461894,100.209128"
1,29.9,3.73,47.13,27.45,8.52,2,"5.461894,100.209128"
2,29.6,5.49,49.54,29.26,8.34,1,"5.466925,100.206189"
2,29.6,5.51,49.39,29.33,8.44,1,"5.466925,100.206189"
2,29.6,5.47,49.55,29.36,8.49,1,"5.466925,100.206189"
2,29.6,5.6,49.57,29.38,8.54,1,"5.466925,100.206189"
2,29.6,5.55,49.54,29.35,8.58,1,"5.466925,100.206189"
2,29.6,5.5,49.55,29.37,8.6,1,"5.466925,100.206189"
2,29.6,5.34,49.56,29.38,8.61,1,"5.466925,100.206189"
2,29.6,5.38,49.58,29.38,8.61,1,"5.466925,100.206189"
2,29.6,5.26,49.55,29.37,8.62,1,"5.466925,100.206189"
2,29.6,5.5,49.54,29.38,8.66,1,"5.466925,100.206189"
2,29.6,5.5,49.57,29.37,8.66,1,"5.466925,100.206189"
2,29.6,5.42,49.49,29.39,8.66,1,"5.466925,100.206189"
2,29.5,4.42,49,28.83,8.65,2,"5.466925,100.206189"
2,29.5,4.48,47,27.7,8.52,2,"5.466925,100.206189"
2,29.5,4.18,46.92,27.67,8.44,2,"5.466925,100.206189"
3,29.7,5.94,49.7,29.43,8.38,1,"5.482422,100.197283"
3,29.7,5.9,49.73,29.44,8.41,1,"5.482422,100.197283"
3,29.7,5.85,49.73,29.44,8.45,1,"5.482422,100.197283"
3,29.6,6.03,49.68,29.44,8.54,1,"5.482422,100.197283"
3,29.6,6.01,49.67,29.44,8.58,1,"5.482422,100.197283"
3,29.6,6,49.68,29.45,8.59,1,"5.482422,100.197283"
3,29.6,5.52,49.55,29.42,8.58,1,"5.482422,100.197283"
3,29.5,5.67,49.52,20.42,8.64,1,"5.482422,100.197283"
3,29.5,5.61,49.51,29.41,8.65,1,"5.482422,100.197283"
3,29.5,4.28,49.15,29.15,8.64,2,"5.482422,100.197283"
3,29.5,4.38,49.19,28.9,8.64,2,"5.482422,100.197283"
3,29.5,4.39,48.83,29.27,8.64,2,"5.482422,100.197283"
4,29.2,6.26,48.97,29.21,8.2,1,"5.491008,100.195036"
4,29.3,6.26,49.07,29.24,8.38,1,"5.491008,100.195036"
4,29.3,6.23,49.08,29.24,8.39,1,"5.491008,100.195036"
4,29.3,6.36,49.08,29.25,8.48,1,"5.491008,100.195036"
4,29.3,6.39,49.09,29.25,8.53,1,"5.491008,100.195036"
4,29.3,6.38,49.1,29.25,8.56,1,"5.491008,100.195036"
4,29.3,6.49,49.1,29.25,8.62,1,"5.491008,100.195036"
4,29.3,6.44,49.1,29.25,8.64,1,"5.491008,100.195036"
4,29.3,6.41,49.1,29.25,8.66,1,"5.491008,100.195036"
4,29.3,6.46,49.09,29.25,8.7,1,"5.491008,100.195036"
4,29.3,6.44,49.08,29.24,8.73,1,"5.491008,100.195036"
4,29.3,6.46,49.08,29.24,8.74,1,"5.491008,100.195036"
4,29.3,6.46,49.08,29.25,8.68,1,"5.491008,100.195036"
4,29.3,6.46,49.08,29.25,8.7,1,"5.491008,100.195036"
4,29.3,6.44,49.09,29.24,8.7,1,"5.491008,100.195036"
4,29.3,6.52,49.08,29.25,8.79,1,"5.491008,100.195036"
4,29.3,6.44,49.08,29.24,8.81,1,"5.491008,100.195036"
4,29.3,6.47,49.07,29.25,8.79,1,"5.491008,100.195036"
4,29.3,6.42,49.06,29.26,8.73,1,"5.491008,100.195036"
4,29.2,6.35,49.09,29.31,8.74,1,"5.491008,100.195036"
4,29.2,6.27,49.1,29.32,8.73,1,"5.491008,100.195036"
4,29.1,6.2,49.13,29.36,8.74,1,"5.491008,100.195036"
4,29.1,6.23,49.11,29.35,8.73,1,"5.491008,100.195036"
4,29.1,6.23,49.12,29.35,8.73,1,"5.491008,100.195036"
4,29.1,6.2,49.16,29.39,8.73,1,"5.491008,100.195036"
4,29.1,6.23,49.16,29.4,8.73,1,"5.491008,100.195036"
4,29.1,6.23,49.17,29.4,8.73,1,"5.491008,100.195036"
5,29.2,6.28,48.8,29.12,8.32,1,"5.506722,100.194008"
5,29.2,6.34,48.8,29.12,8.39,1,"5.506722,100.194008"
5,29.2,6.29,48.81,29.13,8.48,1,"5.506722,100.194008"
5,29.2,6.42,48.81,29.12,8.57,1,"5.506722,100.194008"
5,29.2,6.43,48.83,29.13,8.69,1,"5.506722,100.194008"
5,29.2,6.43,48.83,29.13,8.72,1,"5.506722,100.194008"
5,29.2,6.53,48.86,29.17,8.76,1,"5.506722,100.194008"
5,29.2,6.45,48.9,29.16,8.76,1,"5.506722,100.194008"
5,29.2,6.51,48.86,29.15,8.73,1,"5.506722,100.194008"
5,29.2,6.52,48.94,29.17,8.77,1,"5.506722,100.194008"
5,29.2,6.45,48.97,29.24,8.75,1,"5.506722,100.194008"
5,29.3,6.17,49.25,29.35,8.75,1,"5.506722,100.194008"
5,29.3,6.13,49.25,29.35,8.73,1,"5.506722,100.194008"
5,29.3,6.09,49.26,29.35,8.71,1,"5.506722,100.194008"
5,29.3,6.11,49.26,29.35,8.74,1,"5.506722,100.194008"
5,29.3,6.12,49.25,29.35,8.72,1,"5.506722,100.194008"
5,29.3,6.06,49.26,29.35,8.71,1,"5.506722,100.194008"
5,29.3,6.07,49.25,29.36,8.7,1,"5.506722,100.194008"
5,29.3,6.1,49.26,29.36,8.76,1,"5.506722,100.194008"
5,29.3,6.05,49.26,29.36,8.77,1,"5.506722,100.194008"
5,29.3,6.03,49.26,29.36,8.77,1,"5.506722,100.194008"
5,29.3,6.07,49.26,29.36,8.78,1,"5.506722,100.194008"
5,29.2,6.01,49.26,29.36,8.66,1,"5.506722,100.194008"
5,29.3,6.04,49.26,29.37,8.67,1,"5.506722,100.194008"
5,29.3,6.03,49.25,29.36,8.63,1,"5.506722,100.194008"
5,29.3,6.03,49.25,29.36,8.64,1,"5.506722,100.194008"
5,29.3,6.05,49.25,29.36,8.65,1,"5.506722,100.194008"
5,29.3,6.02,49.24,29.36,8.71,1,"5.506722,100.194008"
5,29.3,6.05,49.24,29.36,8.71,1,"5.506722,100.194008"
5,29.3,6.05,49.24,29.36,8.74,1,"5.506722,100.194008"
5,29.3,5.99,48.74,29.03,8.55,1,"5.506722,100.194008"
5,29.3,6.05,48.75,29,8.51,1,"5.506722,100.194008"
5,29.3,6.09,48.77,29.01,8.64,1,"5.506722,100.194008"
5,29.2,6.2,48.76,29.03,8.63,1,"5.506722,100.194008"
5,29.3,6.17,48.82,29.06,8.76,1,"5.506722,100.194008"
5,29.3,6.21,48.8,29.06,8.81,1,"5.506722,100.194008"
5,29,6.02,48.84,29.08,8.84,1,"5.506722,100.194008"
5,29.3,5.99,48.84,29.08,8.85,1,"5.506722,100.194008"
5,29.3,6,48.83,29.08,8.84,1,"5.506722,100.194008"
5,29.3,6.24,48.83,29.08,8.83,1,"5.506722,100.194008"
5,29.3,6.17,48.85,29.1,8.84,1,"5.506722,100.194008"
5,29.3,6.1,48.85,29.1,8.85,1,"5.506722,100.194008"
5,29.3,6.26,48.85,29.1,8.83,1,"5.506722,100.194008"
5,29.3,6.22,48.85,29.09,8.81,1,"5.506722,100.194008"
5,29.3,6.21,48.85,29.1,8.82,1,"5.506722,100.194008"
5,29.3,6.27,48.85,29.1,8.84,1,"5.506722,100.194008"
5,29.3,6.23,48.85,29.1,8.82,1,"5.506722,100.194008"
5,29.3,6.22,48.86,29.1,8.83,1,"5.506722,100.194008"
5,29.3,6.3,48.86,29.1,8.9,1,"5.506722,100.194008"
5,29.3,6.18,48.86,29.1,8.83,1,"5.506722,100.194008"
5,29.3,6.17,48.87,29.11,8.83,1,"5.506722,100.194008"
5,29.3,6.12,48.88,29.12,8.83,1,"5.506722,100.194008"
5,29.3,6.13,48.88,29.11,8.82,1,"5.506722,100.194008"
5,29.3,6.11,48.89,29.12,8.83,1,"5.506722,100.194008"
5,29.3,6.12,48.92,29.13,8.81,1,"5.506722,100.194008"
5,29.3,6.11,48.9,29,8.81,1,"5.506722,100.194008"
5,29.3,6.12,48.89,29.12,8.79,1,"5.506722,100.194008"
5,29.2,6.13,48.92,29.14,8.84,1,"5.506722,100.194008"
5,29.3,6.08,48.92,29.14,8.83,1,"5.506722,100.194008"
5,29.3,6.11,48.91,29.13,8.84,1,"5.506722,100.194008"
1,30.6,6.02,42.61,24.22,9.19,1,"5.461894,100.209128"
1,30.8,5.63,42.35,24.1,9.26,1,"5.461894,100.209128"
1,30.7,5.57,42.2,24,9.29,1,"5.461894,100.209128"
1,28.8,5.24,49.63,29.94,9.68,1,"5.461894,100.209128"
1,28.9,5.07,49.6,29.93,9.72,1,"5.461894,100.209128"
1,28.9,5.05,49.52,29.87,9.72,1,"5.461894,100.209128"
2,29.3,5.49,50.5,30.21,9.61,1,"5.466925,100.206189"
2,29.1,5.37,50.4,30.24,9.67,1,"5.466925,100.206189"
2,29.2,5.25,50.3,30.22,9.75,1,"5.466925,100.206189"
2,28.9,5.24,49.83,30.18,9.87,1,"5.466925,100.206189"
2,28.4,4.63,49.75,30.22,9.91,2,"5.466925,100.206189"
2,28.4,4.71,49.78,30.28,9.92,2,"5.466925,100.206189"
2,28.6,4.83,49.75,30.22,9.94,2,"5.466925,100.206189"
2,28.4,4.72,49.76,30.15,9.96,2,"5.466925,100.206189"
2,28.6,4.71,49.76,30.22,9.96,2,"5.466925,100.206189"
2,28.4,4.41,49.71,30.27,9.97,2,"5.466925,100.206189"
2,28.4,4.31,49.71,30.25,9.94,2,"5.466925,100.206189"
2,28.4,4.29,49.72,30.24,9.94,2,"5.466925,100.206189"
2,28.5,4.48,49.71,30.23,9.93,2,"5.466925,100.206189"
2,28.4,4.35,49.72,30.18,9.98,2,"5.466925,100.206189"
2,28.3,4.55,49.74,30.21,9.94,2,"5.466925,100.206189"
3,29.5,5.59,50.8,30.15,9.3,1,"5.482422,100.197283"
3,29.6,5.62,50.8,30.16,9.38,1,"5.482422,100.197283"
3,29.7,5.51,50.8,30.22,9.44,1,"5.482422,100.197283"
3,29.2,5.47,49.87,30.14,9.64,1,"5.482422,100.197283"
3,28.6,5.33,49.81,30.19,9.73,1,"5.482422,100.197283"
3,28.5,5.31,49.84,30.25,9.79,1,"5.482422,100.197283"
3,28.5,5.23,49.77,30.25,9.88,1,"5.482422,100.197283"
3,28.5,4.35,49.76,30.19,9.92,2,"5.482422,100.197283"
3,28.4,4.1,40.78,30.27,9.97,2,"5.482422,100.197283"
4,29,5.55,50.2,30.12,9.12,1,"5.491008,100.195036"
4,29.1,5.56,50.2,30.15,9.16,1,"5.491008,100.195036"
4,29.1,5.58,50.2,30.04,9.22,1,"5.491008,100.195036"
4,29.1,5.69,49.84,30.02,9.35,1,"5.491008,100.195036"
4,28.6,5.66,49.76,30.1,9.41,1,"5.491008,100.195036"
4,28.6,5.68,49.75,30.11,9.45,1,"5.491008,100.195036"
4,28.6,5.62,49.73,30.1,9.55,1,"5.491008,100.195036"
4,28.4,5.48,49.63,30.19,9.59,1,"5.491008,100.195036"
4,28.3,5.37,49.64,30.13,9.65,1,"5.491008,100.195036"
4,28.4,5.54,49.66,30.24,9.78,1,"5.491008,100.195036"
4,28.4,5.3,49.66,30.09,9.84,1,"5.491008,100.195036"
4,28.4,5.44,49.66,30.24,9.89,1,"5.491008,100.195036"
4,28.4,5.25,49.75,30.27,9.94,1,"5.491008,100.195036"
4,28.4,5.16,49.77,30.24,9.97,1,"5.491008,100.195036"
4,28.4,5.18,49.75,30.25,10,1,"5.491008,100.195036"
4,28.3,5.11,49.79,30.27,10.08,1,"5.491008,100.195036"
4,28.3,5.13,49.79,30.28,10.1,1,"5.491008,100.195036"
4,28.3,5.19,49.79,30.24,10.13,1,"5.491008,100.195036"
4,28.3,5.11,49.79,30.3,10.17,1,"5.491008,100.195036"
4,28.4,5.1,49.8,30.26,10.18,1,"5.491008,100.195036"
4,28.3,5.03,49.8,30.24,10.2,1,"5.491008,100.195036"
4,28.4,5.03,49.8,30.3,10.22,1,"5.491008,100.195036"
4,28.5,5.16,49.8,30.33,10.24,1,"5.491008,100.195036"
4,28.5,5,49.8,30.34,10.23,1,"5.491008,100.195036"
5,27.2,6.49,50.03,30.32,9.13,1,"5.506722,100.194008"
5,29.1,5.08,50.4,30.29,9.21,1,"5.506722,100.194008"
5,28.9,5.04,50.4,30.37,9.25,1,"5.506722,100.194008"
5,29.1,5.06,50.3,30.3,9.35,1,"5.506722,100.194008"
5,28.8,4.94,50.3,30.3,9.37,2,"5.506722,100.194008"
5,28.8,5.1,50.3,30.27,9.39,1,"5.506722,100.194008"
5,28.7,5.09,50.2,30.33,9.44,1,"5.506722,100.194008"
5,28.7,5.11,50.2,30.28,9.45,1,"5.506722,100.194008"
5,28.6,5.08,50.2,30.33,9.46,1,"5.506722,100.194008"
5,28.6,5,50.1,30.37,9.49,1,"5.506722,100.194008"
5,28.7,4.89,50.1,30.3,9.48,2,"5.506722,100.194008"
5,28.7,4.88,50.1,30.29,9.49,2,"5.506722,100.194008"
5,28.8,4.98,50.1,30.36,9.57,2,"5.506722,100.194008"
5,28.7,4.85,50.1,30.35,9.51,2,"5.506722,100.194008"
5,28.6,4.81,50.1,30.25,9.52,2,"5.506722,100.194008"
5,28.7,4.86,50.1,30.37,9.52,2,"5.506722,100.194008"
5,28.6,4.78,50.1,30.25,9.62,2,"5.506722,100.194008"
5,28.6,4.86,50.1,30.36,9.52,2,"5.506722,100.194008"
5,28.6,4.88,50.2,30.35,9.55,2,"5.506722,100.194008"
5,28.6,4.77,50.2,30.36,9.53,2,"5.506722,100.194008"
5,28.8,4.77,50.2,30.37,9.55,2,"5.506722,100.194008"
5,28.6,4.74,50.3,30.42,9.55,2,"5.506722,100.194008"
5,28.7,4.53,50.3,30.42,9.56,2,"5.506722,100.194008"
5,28.6,4.49,50.4,30.5,9.55,2,"5.506722,100.194008"
5,28.7,4.37,50.4,30.55,9.52,2,"5.506722,100.194008"
5,28.7,4.35,50.4,30.47,9.54,2,"5.506722,100.194008"
5,28.8,4.37,50.4,30.48,9.55,2,"5.506722,100.194008"
5,28.6,4.33,50.4,30.47,9.45,2,"5.506722,100.194008"
5,28.6,4.27,50.4,30.54,9.66,2,"5.506722,100.194008"
5,28.7,4.32,50.5,30.38,9.58,2,"5.506722,100.194008"
6,28.8,5.76,49.59,29.93,9.28,1,"5.511678,100.188361"
6,28.7,5.66,49.61,29.82,9.27,1,"5.511678,100.188361"
6,28.7,5.73,49.61,30,9.27,1,"5.511678,100.188361"
6,28.5,5.8,49.62,29.7,9.29,1,"5.511678,100.188361"
6,28.7,5.78,49.64,29.9,9.3,1,"5.511678,100.188361"
6,28.6,5.75,49.63,29.99,9.3,1,"5.511678,100.188361"
6,28.7,5.77,49.63,30.01,9.35,1,"5.511678,100.188361"
6,28.7,5.73,49.63,29.99,9.34,1,"5.511678,100.188361"
6,28.8,5.93,49.63,30.02,9.33,1,"5.511678,100.188361"
6,28.6,5.82,49.62,30.01,9.39,1,"5.511678,100.188361"
6,28.7,5.83,49.62,30,9.37,1,"5.511678,100.188361"
6,28.6,6.01,49.62,29.99,9.37,1,"5.511678,100.188361"
6,28.7,5.85,49.67,30,9.37,1,"5.511678,100.188361"
6,28.6,5.89,49.66,30.04,9.38,1,"5.511678,100.188361"
6,28.6,5.76,49.68,30,9.39,1,"5.511678,100.188361"
6,28.8,5.69,49.8,30.12,9.48,1,"5.511678,100.188361"
6,28.8,5.49,49.81,30.14,9.45,1,"5.511678,100.188361"
6,28.6,5.4,49.83,30.16,9.45,1,"5.511678,100.188361"
6,28.7,5.39,49.94,30.23,9.48,1,"5.511678,100.188361"
6,28.7,5.39,49.91,30.09,9.45,1,"5.511678,100.188361"
6,28.6,5.36,49.92,30.22,9.44,1,"5.511678,100.188361"
6,28.6,4.77,50.2,30.38,9.43,2,"5.511678,100.188361"
6,28.7,4.71,50.2,30.25,9.4,2,"5.511678,100.188361"
6,28.7,4.72,50.2,30.38,9.43,2,"5.511678,100.188361"
6,28.7,4.47,50.34,30.43,9.37,2,"5.511678,100.188361"
6,28.7,4.43,50.3,30.33,9.38,2,"5.511678,100.188361"
6,28.7,4.44,50.3,46.21,9.63,2,"5.511678,100.188361"
6,28.8,4.39,50.4,30.39,9.4,2,"5.511678,100.188361"
6,28.7,4.47,50.4,30.54,9.39,2,"5.511678,100.188361"
6,28.6,4.5,50.4,30.43,9.7,2,"5.511678,100.188361"
1,29.4,6.99,50.9,30.4,8.77,1,"5.461894,100.209128"
1,29.4,7.12,50.9,30.38,8.83,1,"5.461894,100.209128"
1,29.4,7.03,50.9,30.37,8.86,1,"5.461894,100.209128"
1,29.3,5.44,50.8,30.37,8.89,1,"5.461894,100.209128"
1,29.3,4.39,50,29.82,8.91,2,"5.461894,100.209128"
1,29.3,4.68,50.2,29.68,8.94,2,"5.461894,100.209128"
2,29.5,6.46,51.6,30.76,8.73,1,"5.466925,100.206189"
2,29.5,6.32,51.6,30.77,8.77,1,"5.466925,100.206189"
2,29.5,6.24,51.6,30.76,8.8,1,"5.466925,100.206189"
2,29.5,6.2,51.6,30.77,8.85,1,"5.466925,100.206189"
2,29.5,6.15,51.5,30.76,8.87,1,"5.466925,100.206189"
2,29.5,6.08,51.6,30.77,8.89,1,"5.466925,100.206189"
2,29.2,5.61,51.1,30.71,8.93,1,"5.466925,100.206189"
2,29.2,5.71,51.2,30.7,8.94,1,"5.466925,100.206189"
2,29.1,5.48,51.1,30.71,8.95,1,"5.466925,100.206189"
2,28.9,5.2,50.7,30.63,8.93,1,"5.466925,100.206189"
2,28.9,5.12,50.8,30.65,8.97,1,"5.466925,100.206189"
2,28.9,5.02,50.8,30.63,8.98,1,"5.466925,100.206189"
3,29.6,6.71,51.7,30.77,8.58,1,"5.482422,100.197283"
3,29.6,6.57,51.7,30.75,8.62,1,"5.482422,100.197283"
3,29.6,6.54,51.7,30.77,8.65,1,"5.482422,100.197283"
3,29.6,6.66,51.7,30.77,8.77,1,"5.482422,100.197283"
3,29.6,6.61,51.6,30.76,8.8,1,"5.482422,100.197283"
3,29.6,6.62,51.6,30.77,8.8,1,"5.482422,100.197283"
3,29.3,5.66,51.4,30.76,8.87,1,"5.482422,100.197283"
3,29.3,6.02,51.3,30.75,8.87,1,"5.482422,100.197283"
3,29.3,5.69,51.4,30.76,8.9,1,"5.482422,100.197283"
4,29.1,6.54,51.4,30.92,8.56,1,"5.491008,100.195036"
4,29.1,6.33,51.4,30.93,8.63,1,"5.491008,100.195036"
4,29.1,6.33,51.4,30.92,8.66,1,"5.491008,100.195036"
4,29.1,6.31,51.4,30.9,8.74,1,"5.491008,100.195036"
4,29.1,6.3,51.4,30.9,8.76,1,"5.491008,100.195036"
4,29.1,6.38,51.4,30.93,8.77,1,"5.491008,100.195036"
4,29.1,6.27,51.4,30.94,8.83,1,"5.491008,100.195036"
4,29.1,6.24,51.4,30.93,8.85,1,"5.491008,100.195036"
4,29.1,6.22,51.4,30.93,8.86,1,"5.491008,100.195036"
4,29.1,6.17,51.4,30.93,8.88,1,"5.491008,100.195036"
4,29.1,6.12,51.4,30.94,8.9,1,"5.491008,100.195036"
